Employee,Level,Workgroup,Position_Name
10672516,13,01KORFURP_D,Staff 13
10008821,12,02KLANFURT_M,Professional 12
10679284,13,01SARACSLA_D,Staff 13
10680765,13,08CHESTER_H,Staff 13
10551761,13,01KORFURP_D,Staff 13
10176040,13,01SARACSLA_D,Staff 13
10189033,11,08BKKFS5_M,Professional 11
10679285,13,01SARACSLA_D,Staff 13
10389326,13,06SOUTFARM_M,Staff 13
10557022,13,01KORSLAU_D,Staff 13
10672849,13,MEIJFACT_M,Staff 13
10292458,13,01MIN1CSLA_D,Staff 13
10522285,13,01SARASAUS_D,Staff 13
10595272,13,07MODETRAD_M,Staff 13
10640099,13,01NONGFOOD_D,Staff 13
10656918,13,05SWINFARM_M,Staff 13
10667213,13,MEIJFACT_M,Staff 13
10679287,13,01SARACSLA_D,Staff 13
10679291,13,WGDUMMY_SMDW,Staff 13
10679286,13,01SARACSLA_D,Staff 13
10024579,10,WGDUMMY_DMUP,Professional 10
10511794,11,09CPFOFF_M,Professional 11
10635429,13,06BKKMAID_D,Staff 13
10240962,13,03KHONFEED_M,Staff 13
10653091,12,06EASTHAT_M,Professional 12
10535637,13,05ISANSWIN_M,Staff 13
10658194,8,09GMOFF_M,Management 08
10679288,13,01SARACSLA_D,Staff 13
10679292,13,WGDUMMY_SMDW,Staff 13
10679289,13,01SARACSLA_D,Staff 13
10679294,13,WGDUMMY_SMDW,Staff 13
10039917,10,WGDUMMY_DMUP,Professional 10
10045151,11,01BANGDSLA_M,Professional 11
10679295,13,WGDUMMY_SMDW,Staff 13
10667644,13,01SARACSLA_D,Staff 13
10044846,12,01MIN1CFUR_M,Professional 12
10679296,13,WGDUMMY_SMDW,Staff 13
10668110,13,05BUDZONE-A_D,Staff 13
10667606,13,05PAETFURT_D,Staff 13
10033919,11,06EAS1FARM_M,Professional 11
10011785,8,09GMOFF_M,Management 08
10020661,8,09GMOFF_M,Management 08
10216415,13,01KORSLAU_D,Staff 13
10272212,13,01NONGFOOD_M,Staff 13
10393628,13,05NORTINTE_M,Staff 13
10215288,12,KSPFACNO6M,Professional 12
10671724,13,05LAMPCSLA_D,Staff 13
10393734,13,01KORSLAU_M,Staff 13
10663744,13,05PAETFURT_D,Staff 13
10624273,13,01MIN1CFUR_D,Staff 13
10408660,13,05WESTPSLA_M,Staff 13
10679298,13,WGDUMMY_SMDW,Staff 13
10517121,13,05NORTBEFA_M,Staff 13
10016343,13,01MIN2CFUR_M,Staff 13
10049944,12,09CPFOFF_M,Professional 12
10042917,10,WGDUMMY_DMUP,Professional 10
10030472,13,01KORSLAU_M,Staff 13
10668609,11,CPPCPTGOFF_M,Professional 11
10032010,10,WGDUMMY_DMUP,Professional 10
10023918,13,01SARASAUS_M,Staff 13
10679302,13,WGDUMMY_SMDW,Staff 13
10051484,13,04MAHAFEED_M,Staff 13
10046498,13,01MIN1CSLA_M,Staff 13
10629941,13,05NORTBRFA_D,Staff 13
10679303,13,WGDUMMY_SMDW,Staff 13
10679301,13,WGDUMMY_SMDW,Staff 13
10668282,13,01SARACSLA_D,Staff 13
10667435,13,01KORSLAU_D,Staff 13
10654957,13,05PAETFURT_D,Staff 13
10162312,13,05SARABEFA_M,Staff 13
10650964,13,01MIN1CFUR_D,Staff 13
10667902,13,01SARACSLA_D,Staff 13
10522491,11,CPGOFF_M,Professional 11
10627207,13,09TECHNOFF_M,Staff 13
10671906,13,05PAETFURT_D,Staff 13
10642112,13,05MAHACSLA_D,Staff 13
10630298,13,MEIJFACT_M,Staff 13
10679306,13,WGDUMMY_SMDW,Staff 13
10674282,13,05ISANPSLA_D,Staff 13
10674041,12,09HILAIOFF_M,Professional 12
10003004,10,WGDUMMY_DMUP,Professional 10
10680769,13,05LAMPCSLA_D,Staff 13
10611158,13,01KORFURP_D,Staff 13
10272127,11,09ACCOFF_M,Professional 11
10621910,9,09GMOFF_M,Management 09
10679308,13,WGDUMMY_SMDW,Staff 13
10649812,13,05NORTINTE_M,Staff 13
10034178,10,WGDUMMY_DMUP,Professional 10
10281365,13,01KORFURP_D,Staff 13
10646330,13,05CENTEGG_D,Staff 13
10668153,13,05KRABIPSLA_D,Staff 13
10059328,13,01BANGDSLA_D,Staff 13
10679138,11,05BANJINTE_M,Professional 11
10034947,10,CPGOFF_M,Professional 10
10072134,12,01PAETFOOD_M,Professional 12
10667126,13,05CHICKBEF_M,Staff 13
10668342,13,01SARACSLA_D,Staff 13
10011746,10,WGDUMMY_DMUP,Professional 10
10361051,13,01SARACSLA_D,Staff 13
10161017,7,09GMOFF_M,Senior Management 07
10667757,13,05PAETFURT_D,Staff 13
10567585,13,01SARACFUR_D,Staff 13
10052941,13,06EAS1FARM_M,Staff 13
10610030,12,08CHESTER_M,Professional 12
10239949,13,01KORSLAU_M,Staff 13
10318541,9,WGDUMMY_DMUP,Management 09
10622547,13,01MIN1CSLA_D,Staff 13
10011555,10,WGDUMMY_DMUP,Professional 10
10011557,8,09GMOFF_M,Management 08
10012576,9,09GMOFF_M,Management 09
10679313,13,05NORTINTE_D,Staff 13
10668188,13,01SARACSLA_D,Staff 13
10615689,13,01MIN1CSLA_D,Staff 13
10165708,12,01KORFURP_M,Professional 12
10654493,12,03KHONFEED_M,Professional 12
10024635,11,05BANJINTE_M,Professional 11
10606313,13,01BANGDSLA_D,Staff 13
10431759,13,05NORTINTE_D,Staff 13
10009455,12,05CHICKBEF_M,Professional 12
10020337,11,WGDUMMY_SMDW,Professional 11
10197564,13,01KORSLAU_M,Staff 13
10537528,13,05CENTEGG_D,Staff 13
10280220,13,01MIN1CSLA_D,Staff 13
10680776,13,01SARAJERH_D,Staff 13
10093677,7,09GMOFF_M,Senior Management 07
10568774,12,09CPFOFF_M,Professional 12
10610097,13,05ISANPSLA_D,Staff 13
10030215,9,09GMOFF_M,Management 09
10183587,10,WGDUMMY_DMUP,Professional 10
10679312,13,05NORTINTE_D,Staff 13
10189142,9,09GMOFF_M,Management 09
10336128,13,05LADLPSLA_M,Staff 13
10529562,13,01MIN1CSLA_D,Staff 13
10621333,13,01SARASAUS_D,Staff 13
10679316,13,05BUDZONE-B_D,Staff 13
10626171,13,05NORTINTE_D,Staff 13
10612405,13,01MIN1CSLA_D,Staff 13
10283446,13,02RANOFURT_D,Staff 13
10249526,13,01KORFURP_D,Staff 13
10644334,13,05CHICKBEF_M,Staff 13
10004243,9,WGDUMMY_DMUP,Management 09
10679315,13,WGDUMMY_SMDW,Staff 13
10313345,13,01KORSLAU_D,Staff 13
10679324,13,05NORTINTE_D,Staff 13
10671885,13,05PAETFURT_D,Staff 13
10385098,13,05JANACSLA_D,Staff 13
10017262,8,09GMOFF_M,Management 08
10666835,13,05EASTPSLA_D,Staff 13
10529951,13,05EASTSWIN_M,Staff 13
10245006,13,01KORFURP_D,Staff 13
10604538,12,05EASTSWIN_M,Professional 12
10574555,13,01MIN2CFUR_D,Staff 13
10645815,6,WGDUMMY_DMUP,Executive 06
10649713,13,05SWINFARM_M,Staff 13
10554039,12,WGDUMMY_DMUP,Professional 12
10003890,9,09GMOFF_M,Management 09
10679318,13,05NORTINTE_D,Staff 13
10027949,12,01MIN1CSLA_M,Professional 12
10665407,13,01KORSLAU_D,Staff 13
10415028,13,05NORTINTE_M,Staff 13
10338495,13,06EAS1FARM_M,Staff 13
10535530,13,01MIN1CSLA_D,Staff 13
10166799,13,MEIJFACT_M,Staff 13
10402245,13,01KORSLAU_M,Staff 13
10031948,9,09GMOFF_M,Management 09
10635187,13,05ISANBRFA_M,Staff 13
10413411,13,05NORTINTE_M,Staff 13
10615681,13,01MIN1CSLA_D,Staff 13
10640355,13,05NORTINTE_D,Staff 13
10645385,13,05WESTPSLA_D,Staff 13
10178358,13,01MIN2CFUR_M,Staff 13
10635554,13,01MIN1CSLA_D,Staff 13
10568845,13,05NORTINTE_D,Staff 13
10663295,13,01KORSLAU_D,Staff 13
10003122,8,09GMOFF_M,Management 08
10017930,13,07BANGLOGI_M,Staff 13
10292149,13,02SURAFURT_D,Staff 13
10310791,13,01SARACFUR_D,Staff 13
10640283,13,01MIN1CSLA_D,Staff 13
10680778,13,08YANDREST_H,Staff 13
10652086,13,01MIN1CFUR_D,Staff 13
10190507,13,01NONGFOOD_D,Staff 13
10646008,13,08CHESTER_H,Staff 13
10287889,12,03RATCFEED_M,Professional 12
10615223,13,06EASTHAT_D,Staff 13
10567442,13,05NORTINTE_D,Staff 13
10680775,13,08CHESTER_H,Staff 13
10088197,12,KSPFACNO6M,Professional 12
10645841,11,WGDUMMY_DMUP,Professional 11
10502090,13,05WESTPSLA_M,Staff 13
10008609,10,WGDUMMY_DMUP,Professional 10
10393209,12,01KORFURP_M,Professional 12
10524761,13,01BANGDSLA_D,Staff 13
10329948,13,05NORTINTE_M,Staff 13
10530341,13,01KORSLAU_M,Staff 13
10162270,11,03PAKTFEED_M,Professional 11
10596597,13,01SARACFUR_D,Staff 13
10405366,13,05BUDZONE-ES_D,Staff 13
10673406,13,05NORTINTE_D,Staff 13
10088473,13,CPGOFF_M,Staff 13
10591853,13,05NORTINTE_D,Staff 13
10547705,11,09ACCOFF_M,Professional 11
10673415,13,05NORTINTE_D,Staff 13
10668592,11,CPPCPTGOFF_M,Professional 11
10034302,9,WGDUMMY_DMUP,Management 09
10673379,13,05NORTINTE_D,Staff 13
10648177,12,08FOODMARK_M,Professional 12
10679940,13,07MODETRAD_M,Staff 13
10652272,13,08CHESTER_H,Staff 13
10640394,13,05NORTINTE_D,Staff 13
10272213,10,ADVANCE_M,Professional 10
10325289,13,06AMWWFARM_M,Staff 13
10665575,13,01KORSLAU_D,Staff 13
10430300,13,05NORTINTE_M,Staff 13
10678172,13,01KORSLAU_D,Staff 13
10379265,13,01MIN1CFUR_D,Staff 13
10670350,13,05BUDZONE-B_D,Staff 13
10663659,13,01SARACSLA_D,Staff 13
10091062,10,CPIFAC_M,Professional 10
10068465,13,05PAETFURT_M,Staff 13
10200056,10,WGDUMMY_DMUP,Professional 10
10648685,13,05BUDZONE-A_D,Staff 13
10679321,13,06RESEFARM_D,Staff 13
10290211,13,05SWINFARM_M,Staff 13
10017584,10,WGDUMMY_DMUP,Professional 10
10680903,12,WGDUMMY_DMUP,Professional 12
10040821,11,06RESEFARM_M,Professional 11
10654069,13,01SARASAUS_D,Staff 13
10529432,13,01MIN1CSLA_D,Staff 13
10658817,13,01KORSLAU_D,Staff 13
10632292,11,09LEADEROFF_M,Professional 11
10093667,10,CPPFERTFAC_M,Professional 10
10663215,13,01KORSLAU_D,Staff 13
10093992,11,CPPCPTGOFF_M,Professional 11
10674043,13,05CHICKBEF_M,Staff 13
10679331,13,01KORSLAU_D,Staff 13
10672059,13,05EASTSWIN_M,Staff 13
10030768,9,09GMOFF_M,Management 09
10674027,13,05CHICKBEF_M,Staff 13
10616583,13,01MIN2CFUR_D,Staff 13
10670120,12,01MIN2CFUR_M,Professional 12
10528252,13,01SARACSLA_D,Staff 13
10679328,13,WGDUMMY_SMDW,Staff 13
10062233,13,05BANJINTE_M,Staff 13
10173089,11,01SARACSLA_M,Professional 11
10612065,13,05CENTEGG_M,Staff 13
10679335,13,WGDUMMY_SMDW,Staff 13
10287729,13,01MIN1CSLA_D,Staff 13
10038511,11,05WESTSWIN_M,Professional 11
10679336,13,05ISANPSLA_D,Staff 13
10340299,10,WGDUMMY_DMUP,Professional 10
10680783,13,01SARAJERH_D,Staff 13
10679340,7,WGDUMMY_DMUP,Senior Management 07
10002280,8,WGDUMMY_DMUP,Management 08
10553997,11,WGDUMMY_SMDW,Professional 11
10329509,13,01KORSLAU_D,Staff 13
10405471,13,01SARACFUR_D,Staff 13
10361495,13,01MAHAFOOD_D,Staff 13
10410132,13,01KORFURP_D,Staff 13
10634573,13,01MIN1CSLA_D,Staff 13
10091144,11,CPIFAC_M,Professional 11
10677989,10,WGDUMMY_DMUP,Professional 10
10408903,13,01MIN1CSLA_D,Staff 13
10012011,10,WGDUMMY_DMUP,Professional 10
10663313,13,01KORSLAU_D,Staff 13
10523478,12,CPPSFARMPRO_M,Professional 12
10646379,13,05KORABEFA_M,Staff 13
10655745,9,09GMOFF_M,Management 09
10653122,13,01NONGJBAK_D,Staff 13
10598807,13,05SARABRFA_M,Staff 13
10539173,13,05ISANSWIN_M,Staff 13
10680767,13,05LAMPCSLA_D,Staff 13
10519232,13,01MIN1CSLA_D,Staff 13
10673671,12,WGDUMMY_SMDW,Professional 12
10229176,12,03KOKKFEED_M,Professional 12
10375998,11,09CPFOFF_M,Professional 11
10521608,13,05BANNEGSO_M,Staff 13
10409666,13,01NONGFOOD_D,Staff 13
10551663,13,01SARACFUR_D,Staff 13
10554006,12,ACCNONOFF_M,Professional 12
10648705,13,05NORTINTE_D,Staff 13
10032388,9,09GMOFF_M,Management 09
10655282,13,05ISANPSLA_D,Staff 13
10625043,12,DMT4PLMAKROST_M,Professional 12
10004028,11,05SARABRFA_M,Professional 11
10015746,11,06SOUTFARM_M,Professional 11
10290677,11,06EASTHAT_M,Professional 11
10356881,13,05NORTINTE_M,Staff 13
10073814,13,01MAHAFOOD_D,Staff 13
10636421,11,09LEADEROFF_M,Professional 11
10673381,13,05PAETFURT_D,Staff 13
10391409,13,05NORTBEFA_M,Staff 13
10017565,11,05PAETFURT_M,Professional 11
10680839,12,09CPFITOFF_M,Professional 12
10005438,9,09GMOFF_M,Management 09
10679346,13,05ISANPSLA_D,Staff 13
10620562,13,01MIN1CSLA_D,Staff 13
10167083,11,03TKASFEED_M,Professional 11
10659545,13,05NORTINTE_M,Staff 13
10644015,13,01MIN1CSLA_D,Staff 13
10065896,13,02RANOFURT_D,Staff 13
10011293,8,09GMOFF_M,Management 08
10432895,11,09LEADEROFF_M,Professional 11
10597652,12,ADVANFAC_M,Professional 12
10038267,13,01SARACFUR_M,Staff 13
10317908,11,05CHICKBEF_M,Professional 11
10021607,12,01SARACFUR_M,Professional 12
10423543,13,05LAMPCSLA_D,Staff 13
10679277,13,WGDUMMY_SMDW,Staff 13
10308274,13,01NONGFOOD_M,Staff 13
10173876,10,WGDUMMY_DMUP,Professional 10
10669230,13,05BUDZONE-FS_D,Staff 13
10363997,9,09GMOFF_M,Management 09
10276677,13,03HATYFEED_M,Staff 13
10679348,13,01MIN2CFUR_D,Staff 13
10679272,13,WGDUMMY_SMDW,Staff 13
10679276,13,WGDUMMY_SMDW,Staff 13
10008174,9,09GMOFF_M,Management 09
10003769,11,01SARACSLA_M,Professional 11
10658834,13,01KORSLAU_D,Staff 13
10651783,13,01KORFURP_D,Staff 13
10622755,13,01SARACSLA_D,Staff 13
10361733,12,09WANGRESE_M,Professional 12
10679327,13,05NORTINTE_D,Staff 13
10528112,12,05ISANSWIN_M,Professional 12
10679329,13,05NORTINTE_D,Staff 13
10646197,13,05WESTSWIN_M,Staff 13
10504579,13,04BANBFEED_M,Staff 13
10522601,12,09TROKCOFF_M,Professional 12
10207436,11,09TROKCOFF_M,Professional 11
10079090,13,01SARACFUR_D,Staff 13
10634675,13,WGDUMMY_SMDW,Staff 13
10185280,10,WGDUMMY_DMUP,Professional 10
10059853,13,01BANGDSLA_D,Staff 13
10352439,13,05WESTSWIN_M,Staff 13
10602788,13,MEIJOFFI_D,Staff 13
10679279,13,WGDUMMY_SMDW,Staff 13
10672470,13,01KORFURP_D,Staff 13
10669605,13,05NORTINTE_D,Staff 13
10679297,13,WGDUMMY_SMDW,Staff 13
10678279,13,01KORSLAU_D,Staff 13
10031890,11,05PARKCDFA_M,Professional 11
10679278,13,WGDUMMY_SMDW,Staff 13
10678276,13,01KORSLAU_D,Staff 13
10207632,11,02KLANFURT_M,Professional 11
10430366,13,05EASTPSLA_M,Staff 13
10049765,13,05ISANBRFA_M,Staff 13
10664950,11,MEIJOFFI_M,Professional 11
10039094,10,WGDUMMY_DMUP,Professional 10
10391024,13,01KORSLAU_M,Staff 13
10053685,13,01MAHAFOOD_M,Staff 13
10002935,9,09GMOFF_M,Management 09
10608651,13,01KORFURP_D,Staff 13
10666830,13,05EASTPSLA_D,Staff 13
10679323,13,WGDUMMY_SMDW,Staff 13
10680790,13,08BKKFS5_M,Staff 13
10009645,6,09GMOFF_M,Executive 06
10576099,13,05SARABEFA_M,Staff 13
10001780,10,04BANBFEED_M,Professional 10
10679352,13,01MIN2CFUR_D,Staff 13
10641840,12,08NORTFS5_M,Professional 12
10611018,11,01BKKJERH_M,Professional 11
10679350,13,01MIN2CFUR_D,Staff 13
10669606,13,05BUDZONE-FS_D,Staff 13
10609490,13,05ISANPSLA_D,Staff 13
10055551,11,09CPFOFF_M,Professional 11
10679299,13,WGDUMMY_SMDW,Staff 13
10663587,13,01SARACSLA_D,Staff 13
10679325,13,WGDUMMY_SMDW,Staff 13
10541767,12,06RESEFARM_M,Professional 12
10566543,11,09CPFITOFF_M,Professional 11
10241009,13,01SARACSLA_D,Staff 13
10024256,10,WGDUMMY_DMUP,Professional 10
10052703,13,06SOUTFARM_M,Staff 13
10054156,13,05BANJINTE_M,Staff 13
10611621,13,01SARACFUR_D,Staff 13
10430504,13,05EASTSWIN_M,Staff 13
10527278,13,01PAETFOOD_D,Staff 13
10540418,13,05EASTPSLA_D,Staff 13
10045231,13,01NONGFOOD_M,Staff 13
10044814,12,01MIN1CSLA_M,Professional 12
10598665,13,MEIJFACT_M,Staff 13
10535740,13,01SARACFUR_D,Staff 13
10380678,13,01MIN1CFUR_M,Staff 13
10638487,13,01NONGFOOD_D,Staff 13
10679332,13,WGDUMMY_SMDW,Staff 13
10680792,13,09HILAIOFF_H,Staff 13
10528040,13,01MIN2CFUR_M,Staff 13
10640405,13,05NORTINTE_D,Staff 13
10375404,13,WGDUMMY_SMDW,Staff 13
10393071,13,WGDUMMY_SMDW,Staff 13
10646105,13,01MIN1CFUR_D,Staff 13
10658405,13,01KORSLAU_D,Staff 13
10531085,13,03KABIFEED_M,Staff 13
10646051,13,01SARACSLA_D,Staff 13
10679338,13,WGDUMMY_SMDW,Staff 13
10679356,13,01MIN2CFUR_D,Staff 13
10660681,13,05LADLPSLA_D,Staff 13
10529742,8,09GMOFF_M,Management 08
10091037,9,09GMOFF_M,Management 09
10011421,7,09GMOFF_M,Senior Management 07
10654694,13,01MIN2CFUR_D,Staff 13
10679359,13,01MIN2CFUR_D,Staff 13
10666945,13,05LADLPSLA_D,Staff 13
10672147,12,DMTMAHACHAI_M,Professional 12
10093466,13,CPPFAC12-19_M,Staff 13
10662523,13,01KORSLAU_D,Staff 13
10336002,9,09GMOFF_M,Management 09
10618261,13,WGDUMMY_SMDW,Staff 13
10268184,13,01MIN1CFUR_D,Staff 13
10549978,10,WGDUMMY_DMUP,Professional 10
10007685,9,09GMOFF_M,Management 09
10646188,13,05ISANPSLA_D,Staff 13
10647108,13,05PHRAPSLA_D,Staff 13
10006795,12,05GBEFARM_M,Professional 12
10368717,13,05SARABRFA_M,Staff 13
10680842,10,WGDUMMY_DMUP,Professional 10
10679365,13,01MIN2CFUR_D,Staff 13
10016063,12,05SARABRFA_M,Professional 12
10271598,13,06SOUTFARM_D,Staff 13
10630242,7,09GMOFF_M,Senior Management 07
10574351,11,01MIN1CFUR_M,Professional 11
10071915,13,01SARACFUR_D,Staff 13
10061906,13,01MAHAFOOD_M,Staff 13
10615319,13,01MIN2CFUR_D,Staff 13
10666595,13,05EASTPSLA_D,Staff 13
10358932,11,03KHONFEED_M,Professional 11
10645535,13,08CHESTER_H,Staff 13
10670766,13,01SARACSLA_D,Staff 13
10679361,13,01KORSLAU_D,Staff 13
10567091,13,05BUDZONE-A_M,Staff 13
10663296,13,01KORSLAU_D,Staff 13
10567092,13,05BANJINTE_M,Staff 13
10679364,13,01KORSLAU_D,Staff 13
10430205,13,01WANGPILOT_M,Staff 13
10573304,13,01MIN1CSLA_D,Staff 13
10679362,7,WGDUMMY_DMUP,Senior Management 07
10641337,13,01KORFURP_D,Staff 13
10672243,13,01SARACSLA_D,Staff 13
10652312,13,01MAHAFOOD_D,Staff 13
10617733,13,01MIN1CSLA_D,Staff 13
10562949,13,05SAMUPSLA_D,Staff 13
10672524,13,05PAETFURT_D,Staff 13
10622682,10,WGDUMMY_SMDW,Professional 10
10674189,13,05SWINFARM_M,Staff 13
10576348,13,05SAMUPSLA_D,Staff 13
10396006,13,05CENTEGG_D,Staff 13
10617408,12,03RATCFEED_M,Professional 12
10679367,9,09GMOFF_M,Management 09
10000746,9,WGDUMMY_DMUP,Management 09
10399829,12,07NORTFM_M,Professional 12
10679370,13,CPPFAC12-19_D,Staff 13
10161108,9,WGDUMMY_DMUP,Management 09
10679368,13,01KORSLAU_D,Staff 13
10185821,13,01SARACSLA_M,Staff 13
10264606,13,03HATYFEED_M,Staff 13
10654988,13,01MIN1CSLA_D,Staff 13
10618697,13,05NORTINTE_D,Staff 13
10304656,13,05BUDZONE-B_M,Staff 13
10644549,13,08CHESTER_H,Staff 13
10613205,13,05ISANPSLA_D,Staff 13
10328946,13,05SARABRFA_M,Staff 13
10174552,13,02RANOFURT_M,Staff 13
10647794,13,07BANGLOGI_M,Staff 13
10679374,13,01KORSLAU_D,Staff 13
10093222,13,CPPFERTFAC_M,Staff 13
10337392,13,01WANGSAUC_D,Staff 13
10383033,12,08BKKFS5_M,Professional 12
10679371,13,01KORSLAU_D,Staff 13
10430830,13,05NORTINTE_M,Staff 13
10035119,13,ARBROSNO6M,Staff 13
10029270,11,05NORTINTE_M,Professional 11
10408600,13,05ISANSWIN_M,Staff 13
